               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  60,            0.022663,            0.020212,           0.0014466,             0.74692,             0.73816,             0.73361,             0.44834,            0.029975,            0.022532,           0.0048401,           0.0051325,           0.0051325,           0.0051325
                  61,            0.022303,            0.019769,           0.0013121,             0.83828,             0.69274,             0.73677,             0.44609,            0.031837,            0.022756,           0.0053668,             0.00505,             0.00505,             0.00505
                  62,             0.02162,            0.019525,           0.0013829,              0.8405,              0.6864,             0.76881,             0.46341,            0.031938,            0.022952,           0.0049871,           0.0049675,           0.0049675,           0.0049675
                  63,            0.021474,            0.019312,           0.0012353,             0.79307,             0.69322,             0.73514,             0.46088,            0.030235,            0.022385,           0.0050783,            0.004885,            0.004885,            0.004885
                  64,            0.021277,            0.019057,           0.0013819,             0.84364,             0.73149,             0.74904,             0.45093,            0.030623,            0.023454,           0.0050674,           0.0048025,           0.0048025,           0.0048025
                  65,            0.021749,            0.019594,           0.0011714,             0.87333,             0.69329,             0.75095,             0.47771,            0.028784,            0.021886,           0.0046431,             0.00472,             0.00472,             0.00472
                  66,            0.021018,            0.019072,           0.0012651,             0.87916,             0.64497,             0.74733,             0.47524,             0.03023,            0.022429,           0.0051751,           0.0046375,           0.0046375,           0.0046375
                  67,            0.020708,            0.019014,           0.0011391,             0.86519,             0.73081,             0.78006,             0.47739,            0.030362,            0.023152,           0.0043836,            0.004555,            0.004555,            0.004555
                  68,            0.021024,            0.018641,           0.0011838,             0.83426,             0.69888,             0.74095,             0.45059,            0.031837,            0.023561,           0.0048745,           0.0044725,           0.0044725,           0.0044725
                  69,            0.021172,            0.019059,           0.0012629,             0.89311,             0.69999,             0.73146,             0.43289,            0.032277,            0.023461,           0.0049042,             0.00439,             0.00439,             0.00439
                  70,            0.020671,            0.019293,           0.0011893,             0.81385,             0.66657,             0.72872,             0.44633,            0.030472,            0.023314,           0.0056253,           0.0043075,           0.0043075,           0.0043075
                  71,            0.020722,            0.018699,           0.0011649,             0.87162,             0.61714,             0.70706,             0.43102,            0.032031,            0.024289,           0.0058289,            0.004225,            0.004225,            0.004225
                  72,            0.020138,            0.018802,           0.0011394,             0.80028,             0.63483,             0.68854,             0.43151,            0.030814,            0.023928,           0.0056378,           0.0041425,           0.0041425,           0.0041425
                  73,            0.019827,            0.018771,           0.0011179,             0.72927,             0.71571,             0.72613,             0.45305,            0.030334,            0.023969,            0.005404,             0.00406,             0.00406,             0.00406
                  74,            0.019664,            0.018515,           0.0010659,             0.82011,             0.65554,             0.70338,             0.43614,            0.031284,            0.024124,           0.0051653,           0.0039775,           0.0039775,           0.0039775
                  75,            0.019889,            0.018295,           0.0011193,             0.82264,             0.69977,             0.71483,             0.44863,             0.03108,            0.023744,           0.0055748,            0.003895,            0.003895,            0.003895
                  76,             0.01942,            0.017614,           0.0011289,             0.79732,             0.71818,             0.71784,             0.45355,            0.029833,            0.023799,           0.0053606,           0.0038125,           0.0038125,           0.0038125
                  77,            0.019211,            0.017906,           0.0010666,             0.73543,             0.71989,             0.72199,             0.46486,            0.029996,            0.023574,           0.0054951,             0.00373,             0.00373,             0.00373
                  78,             0.01876,            0.017448,           0.0010556,              0.8609,             0.69519,             0.72811,             0.46133,            0.030168,            0.023748,           0.0053539,           0.0036475,           0.0036475,           0.0036475
                  79,            0.019005,            0.017529,           0.0010113,             0.91287,             0.67527,             0.74767,              0.4775,            0.029562,             0.02362,           0.0048497,            0.003565,            0.003565,            0.003565
                  80,            0.018818,            0.017065,           0.0010481,             0.91099,             0.70964,             0.76366,             0.47329,            0.030767,            0.023853,            0.004681,           0.0034825,           0.0034825,           0.0034825
                  81,            0.018891,            0.017821,            0.001033,             0.94923,             0.63819,             0.74069,             0.46976,            0.029752,            0.024148,           0.0052973,              0.0034,              0.0034,              0.0034
                  82,            0.019203,            0.017901,          0.00093516,               0.943,             0.65366,             0.73735,             0.44599,            0.031389,            0.024108,           0.0054801,           0.0033175,           0.0033175,           0.0033175
                  83,            0.018391,            0.016986,           0.0010191,             0.80699,             0.70672,             0.72063,             0.45364,             0.03095,            0.024781,           0.0054758,            0.003235,            0.003235,            0.003235
                  84,            0.018219,             0.01717,           0.0009383,             0.89073,             0.64715,             0.71809,              0.4382,            0.031138,            0.024572,           0.0057122,           0.0031525,           0.0031525,           0.0031525
                  85,            0.018361,            0.017071,          0.00098106,             0.91346,             0.66021,             0.72009,             0.44936,            0.030658,            0.024873,             0.00574,             0.00307,             0.00307,             0.00307
                  86,            0.018039,            0.016904,           0.0009335,             0.84224,             0.71532,             0.73597,             0.45362,            0.031671,            0.025356,           0.0053008,           0.0029875,           0.0029875,           0.0029875
                  87,            0.018204,            0.016635,           0.0010431,             0.81499,             0.71405,             0.74562,             0.44727,            0.031507,            0.025006,           0.0047501,            0.002905,            0.002905,            0.002905
                  88,            0.017592,            0.016575,          0.00087885,             0.79478,             0.66406,             0.72509,             0.44392,            0.030715,            0.024858,            0.005915,           0.0028225,           0.0028225,           0.0028225
                  89,            0.017731,            0.016698,          0.00090703,             0.79558,             0.70106,             0.72875,             0.45195,            0.029984,            0.024538,           0.0057019,             0.00274,             0.00274,             0.00274
                  90,            0.017161,            0.016813,          0.00087043,             0.86617,              0.6724,             0.73506,             0.47213,            0.030921,            0.025031,           0.0056842,           0.0026575,           0.0026575,           0.0026575
                  91,            0.016888,            0.016049,          0.00088787,             0.79945,             0.70808,             0.74673,             0.47248,            0.030422,            0.025333,           0.0051511,            0.002575,            0.002575,            0.002575
                  92,            0.017457,             0.01677,          0.00086887,             0.86585,             0.70409,             0.74187,             0.47289,            0.030159,            0.025011,           0.0053806,           0.0024925,           0.0024925,           0.0024925
                  93,            0.017205,            0.016294,          0.00092308,              0.9148,             0.67303,             0.73791,             0.46476,            0.030286,            0.025196,           0.0055654,             0.00241,             0.00241,             0.00241
                  94,            0.016957,            0.016544,          0.00079025,             0.86841,             0.65506,               0.729,             0.46861,            0.029691,            0.025104,           0.0058572,           0.0023275,           0.0023275,           0.0023275
                  95,            0.017041,            0.016398,          0.00090505,             0.70818,             0.73753,             0.73102,             0.46074,            0.029802,            0.024403,           0.0058087,            0.002245,            0.002245,            0.002245
                  96,            0.016817,            0.015862,          0.00078349,             0.75985,             0.72232,             0.72068,             0.45029,            0.030733,            0.024842,           0.0059062,           0.0021625,           0.0021625,           0.0021625
                  97,            0.016365,            0.015969,          0.00077424,             0.77542,             0.70876,              0.7164,             0.44262,            0.031696,            0.025041,           0.0057919,             0.00208,             0.00208,             0.00208
                  98,            0.016347,            0.015996,          0.00077179,             0.77515,             0.70542,             0.72397,             0.46342,            0.030031,            0.025195,           0.0061269,           0.0019975,           0.0019975,           0.0019975
                  99,            0.016257,              0.0158,           0.0007912,             0.83151,              0.7041,             0.72418,             0.45891,            0.030541,            0.025559,           0.0059394,            0.001915,            0.001915,            0.001915
                 100,            0.016296,             0.01565,          0.00073095,             0.84783,             0.69238,             0.73218,             0.46356,            0.029945,            0.025149,           0.0060386,           0.0018325,           0.0018325,           0.0018325
                 101,            0.016234,            0.015504,          0.00067825,             0.82804,             0.70068,             0.74487,             0.47158,            0.030979,            0.025453,           0.0056242,             0.00175,             0.00175,             0.00175
                 102,            0.016069,            0.015569,          0.00073313,             0.78766,             0.70939,             0.73748,             0.46955,            0.029988,            0.025601,           0.0060271,           0.0016675,           0.0016675,           0.0016675
                 103,             0.01582,            0.015714,          0.00066918,              0.7668,              0.7022,             0.73355,             0.46913,            0.029977,            0.025473,           0.0061289,            0.001585,            0.001585,            0.001585
                 104,            0.015511,             0.01524,          0.00069895,             0.74597,             0.71315,             0.73294,             0.46084,            0.030235,             0.02537,           0.0059493,           0.0015025,           0.0015025,           0.0015025
                 105,            0.015844,            0.015372,          0.00060592,             0.82086,             0.66941,             0.72487,             0.45864,            0.030162,             0.02556,            0.005873,             0.00142,             0.00142,             0.00142
                 106,            0.015503,            0.014996,          0.00066139,             0.71195,             0.71522,             0.72528,              0.4679,            0.030054,            0.025727,           0.0062353,           0.0013375,           0.0013375,           0.0013375
                 107,            0.015206,            0.015067,          0.00069903,             0.79221,             0.69126,             0.73456,             0.46636,            0.030013,            0.026043,            0.005981,            0.001255,            0.001255,            0.001255
                 108,            0.015338,            0.014929,          0.00066597,             0.74648,             0.68578,             0.71897,             0.45678,            0.030464,            0.026259,           0.0064522,           0.0011725,           0.0011725,           0.0011725
                 109,            0.015194,            0.015011,          0.00061433,             0.83749,              0.6542,             0.73008,             0.46512,            0.029732,             0.02567,           0.0063165,             0.00109,             0.00109,             0.00109
                 110,            0.015076,            0.014638,          0.00063792,             0.87072,             0.65523,             0.73098,             0.46969,            0.030011,            0.026404,           0.0064799,           0.0010075,           0.0010075,           0.0010075
                 111,            0.014846,            0.014696,          0.00065453,             0.87536,             0.65559,             0.74126,             0.46983,            0.030194,            0.026226,           0.0062421,            0.000925,            0.000925,            0.000925
                 112,            0.015119,            0.014904,          0.00070191,             0.87698,             0.66881,             0.72884,             0.46891,            0.030189,            0.026631,           0.0062567,           0.0008425,           0.0008425,           0.0008425
                 113,            0.014712,            0.014366,          0.00067309,             0.72608,             0.72697,             0.72456,             0.46853,            0.029247,            0.026538,           0.0064353,             0.00076,             0.00076,             0.00076
                 114,            0.014667,            0.014406,          0.00065813,             0.77461,             0.70504,             0.72187,             0.46871,            0.029781,            0.026345,           0.0064388,           0.0006775,           0.0006775,           0.0006775
                 115,             0.01483,            0.014397,          0.00066826,             0.76921,             0.70822,             0.72786,               0.468,            0.029686,            0.025974,           0.0062687,            0.000595,            0.000595,            0.000595
                 116,            0.014553,            0.014206,          0.00065847,             0.88731,             0.64786,             0.72417,             0.46706,             0.02967,            0.026399,           0.0064119,           0.0005125,           0.0005125,           0.0005125
                 117,            0.014612,            0.014505,          0.00059606,             0.73173,              0.7269,             0.72557,             0.46631,            0.029949,            0.026581,           0.0065029,             0.00043,             0.00043,             0.00043
                 118,            0.014161,            0.014231,          0.00061446,             0.72736,             0.73235,             0.72672,             0.47055,            0.029826,            0.026689,           0.0064976,           0.0003475,           0.0003475,           0.0003475
                 119,            0.014212,            0.014171,          0.00060634,              0.7714,             0.72461,             0.73003,             0.47084,            0.029896,              0.0268,           0.0062675,            0.000265,            0.000265,            0.000265
